,iso_code,year,percent
622,JAM,2016,13.39596321
623,JAM,2017,13.40415053
624,JOR,2010,33.55056636
625,JOR,2011,33.01726148
626,JOR,2012,33.01693524
627,JOR,2013,33.41761072
628,JOR,2014,33.20542058
629,JOR,2015,34.30544926
630,JOR,2016,33.17661668
631,JOR,2017,33.00608118
632,JPN,2010,14.14233824
633,JPN,2011,14.14103105
634,JPN,2012,13.12887233
635,JPN,2013,13.36255833
636,JPN,2014,12.58661692
637,JPN,2015,12.68745973
638,JPN,2016,11.62392259
639,JPN,2017,11.70477819
640,KAZ,2010,15.91449319
641,KAZ,2011,15.24383546
642,KAZ,2012,14.48103768
643,KAZ,2013,14.5985643
644,KAZ,2014,13.74975351
645,KAZ,2015,14.38480208
646,KAZ,2016,13.08443846
647,KAZ,2017,13.82428836
648,KEN,2010,28.15477084
649,KEN,2011,28.66288466
650,KEN,2012,29.37227988
651,KEN,2013,28.93534528
652,KEN,2014,28.94935013
653,KEN,2015,28.53628017
654,KEN,2016,28.58337727
655,KEN,2017,28.57837427
656,KHM,2010,31.34313632
657,KHM,2011,30.91962359
658,KHM,2012,31.28373261
659,KHM,2013,30.33652957
660,KHM,2014,28.58336628
661,KHM,2015,26.76923854
662,KHM,2016,25.20287478
663,KHM,2017,25.61429187
664,KIR,2010,13.17504079
665,KIR,2011,13.35815463
666,KIR,2012,12.59423175
667,KIR,2013,12.32529751
668,KIR,2014,11.39374232
669,KIR,2015,11.51431847
670,KIR,2016,10.53783926
671,KIR,2017,10.64085586
672,KWT,2010,62.74398094
673,KWT,2011,62.82540677
674,KWT,2012,64.07091103
675,KWT,2013,62.61130895
676,KWT,2014,55.62390422
677,KWT,2015,65.40607715
678,KWT,2016,60.84385161
679,KWT,2017,60.74515954
680,LBN,2010,30.89212513
681,LBN,2011,30.06910747
682,LBN,2012,30.10805188
683,LBN,2013,30.58809767
684,LBN,2014,30.44456692
685,LBN,2015,31.22929528
686,LBN,2016,30.17186865
687,LBN,2017,30.62111051
688,LBR,2010,15.24919691
689,LBR,2011,16.14705151
690,LBR,2012,16.28820747
691,LBR,2013,15.38285732
692,LBR,2014,14.94227071
693,LBR,2015,18.21280418
694,LBR,2016,17.88677836
695,LBR,2017,17.98411246
696,LBY,2010,50.1472295
697,LBY,2011,44.63173396
698,LBY,2012,44.9113635
699,LBY,2013,49.2794823
700,LBY,2014,47.50123391
701,LBY,2015,51.53264014
702,LBY,2016,52.1292063
703,LBY,2017,54.25468179
704,LKA,2010,31.03378115
705,LKA,2011,31.23207466
706,LKA,2012,30.08397283
707,LKA,2013,28.89822769
708,LKA,2014,26.92277652
709,LKA,2015,25.33734371
710,LKA,2016,14.02544523
711,LKA,2017,11.09961724
712,LSO,2010,32.24059762
713,LSO,2011,31.3547412
714,LSO,2012,31.21324307
715,LSO,2013,32.14869782
716,LSO,2014,33.08010261
717,LSO,2015,30.88497707
718,LSO,2016,28.33683335
719,LSO,2017,28.02865352
720,LTU,2010,14.97106496
721,LTU,2011,14.50968278
722,LTU,2012,13.78452468
723,LTU,2013,12.98119203
