iso_code,year,oil_co2_per_capita,oil_co2,share_global_oil_co2,cumulative_oil_co2,share_global_cumulative_oil_co2,co2_growth_abs,co2_per_capita,co2,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_growth_prct,population,AvgYearlyTemp,AvgTempUncertainty
FRA,1865,0.002,0.059,4.44,0.524,7.96,2.473,1.308,49.303,11.4,872.373,9.39,5.28,37701824.0,12.9615,1.2285833333333334
GEO,1865,0.0,0.001,0.05,0.002,0.04,0.0,0.002,0.004,0.0,0.026,0.0,-4.43,1616942.0,7.957916666666667,1.1918333333333335
ITA,1865,0.001,0.026,1.94,0.029,0.45,-0.333,0.047,1.271,0.29,5.873,0.06,-20.78,26904320.0,12.79425,1.0204166666666667
KAZ,1865,0.0,0.001,0.07,0.003,0.05,-0.003,0.019,0.058,0.01,0.427,0.0,-4.42,3067265.0,4.584833333333335,2.0027500000000003
KGZ,1865,0.0,0.0,0.01,0.001,0.01,0.0,0.006,0.005,0.0,0.038,0.0,-4.41,798710.0,2.6425,2.342333333333333
LTU,1865,0.001,0.002,0.16,0.008,0.12,0.0,0.006,0.009,0.0,0.067,0.0,-4.42,1508316.0,5.334499999999999,0.9391666666666666
LVA,1865,0.001,0.001,0.08,0.004,0.06,0.0,0.005,0.006,0.0,0.043,0.0,-4.42,1225015.0,4.728666666666666,0.9405833333333332
NLD,1865,0.005,0.018,1.39,0.055,0.83,0.443,1.113,3.847,0.89,80.883,0.87,13.02,3455699.0,9.719916666666666,0.8866666666666666
ROU,1865,0.002,0.015,1.11,0.07,1.06,0.0,0.002,0.015,0.0,0.07,0.0,0.0,8848785.0,8.345666666666668,1.4502499999999998
SWE,1865,0.001,0.004,0.28,0.007,0.11,0.044,0.271,1.081,0.25,10.655,0.11,4.24,3991919.0,1.893,1.0656666666666663
TJK,1865,0.0,0.0,0.03,0.001,0.02,0.0,0.004,0.003,0.0,0.022,0.0,-4.44,701984.0,3.42825,2.2096666666666667
